,date,iso_code,total_cases_per_million,people_vaccinated_per_hundred,median_age,icu_patients_per_million,total_deaths_per_million
42646,2021-06-25,FIN,17071.528000000002,58.03,42.8,1.081,174.646
42647,2021-06-26,FIN,17120.191000000003,58.03,42.8,1.081,174.646
42649,2021-06-28,FIN,17152.453,58.16,42.8,0.9009999999999999,174.646
42651,2021-06-30,FIN,17255.907,59.31,42.8,1.262,174.646
43142,2021-01-02,FRA,39969.125,0.0,42.0,38.955999999999996,962.743
43143,2021-01-03,FRA,40154.001000000004,0.0,42.0,39.444,964.46
43144,2021-01-04,FRA,40214.447,0.01,42.0,39.326,970.158
43145,2021-01-05,FRA,40522.791,0.02,42.0,38.719,983.005
43146,2021-01-06,FRA,40895.562000000005,0.03,42.0,38.585,987.179
43147,2021-01-07,FRA,41217.729,0.08,42.0,38.082,991.2639999999999
43148,2021-01-08,FRA,41511.672,0.13,42.0,38.571,1000.0110000000001
43149,2021-01-09,FRA,41810.306000000004,0.15,42.0,38.482,1002.498
43150,2021-01-10,FRA,42046.289000000004,0.16,42.0,38.778,1004.7330000000001
43151,2021-01-11,FRA,42102.768,0.21,42.0,39.459,1009.35
43152,2021-01-12,FRA,42395.185999999994,0.31,42.0,39.635999999999996,1020.332
43153,2021-01-13,FRA,42749.397000000004,0.4,42.0,39.977,1023.722
43154,2021-01-14,FRA,43065.170999999995,0.52,42.0,40.199,1027.925
43155,2021-01-15,FRA,43380.678,0.62,42.0,40.406,1037.339
43156,2021-01-16,FRA,43697.547,0.65,42.0,40.421,1040.195
43157,2021-01-17,FRA,43943.86,0.67,42.0,40.939,1042.282
43158,2021-01-18,FRA,44000.073,0.8,42.0,41.486000000000004,1048.261
43159,2021-01-19,FRA,44355.630999999994,0.99,42.0,41.871,1057.971
43160,2021-01-20,FRA,44751.669,1.19,42.0,42.06399999999999,1062.559
43161,2021-01-21,FRA,45087.794,1.43,42.0,42.419,1067.695
43162,2021-01-22,FRA,45433.005999999994,1.6,42.0,42.952,1077.3
43163,2021-01-23,FRA,45789.6,1.66,42.0,42.715,1080.705
43164,2021-01-24,FRA,46062.46599999999,1.68,42.0,43.736000000000004,1083.25
43165,2021-01-25,FRA,46126.124,1.79,42.0,44.861000000000004,1089.851
43166,2021-01-26,FRA,46453.84099999999,1.94,42.0,45.453,1098.9389999999999
43167,2021-01-27,FRA,46852.736,2.1,42.0,45.838,1104.119
43168,2021-01-28,FRA,47205.111,2.28,42.0,45.897,1109.211
43169,2021-01-29,FRA,47549.005999999994,2.42,42.0,46.178000000000004,1121.362
43170,2021-01-30,FRA,47904.89,2.46,42.0,45.927,1124.9289999999999
43171,2021-01-31,FRA,48191.077000000005,2.47,42.0,46.593,1127.815
43172,2021-02-01,FRA,48256.022000000004,2.55,42.0,47.629,1134.5639999999999
43173,2021-02-02,FRA,48601.427,2.65,42.0,48.398,1145.31
43174,2021-02-03,FRA,48992.255,2.76,42.0,48.354,1150.608
43175,2021-02-04,FRA,48992.551,2.88,42.0,47.95399999999999,1150.608
43176,2021-02-05,FRA,49667.568,2.98,42.0,47.88,1165.528
43177,2021-02-06,FRA,49972.285,3.01,42.0,47.583999999999996,1168.355
43178,2021-02-07,FRA,50264.081,3.02,42.0,48.28,1170.885
43179,2021-02-08,FRA,50328.361,3.09,42.0,49.626999999999995,1177.694
43180,2021-02-09,FRA,50609.871,3.19,42.0,49.316,1188.41
43181,2021-02-10,FRA,50985.942,3.29,42.0,48.976000000000006,1192.7910000000002
43182,2021-02-11,FRA,51297.882000000005,3.42,42.0,49.242,1198.119
43183,2021-02-12,FRA,51604.390999999996,3.54,42.0,48.813,1207.665
43184,2021-02-13,FRA,51918.625,3.57,42.0,48.754,1210.611
43185,2021-02-14,FRA,52165.427,3.58,42.0,48.828,1213.0819999999999
43186,2021-02-15,FRA,52230.639,3.63,42.0,49.893,1219.18
43187,2021-02-16,FRA,52520.674000000006,3.7,42.0,49.405,1227.868
43188,2021-02-17,FRA,52891.28400000001,3.78,42.0,49.434,1232.4560000000001
43189,2021-02-18,FRA,53224.567,3.88,42.0,50.086000000000006,1236.4669999999999
43190,2021-02-19,FRA,53581.664000000004,3.98,42.0,50.026,1244.934
43191,2021-02-20,FRA,53912.77099999999,4.0,42.0,49.864,1247.257
43192,2021-02-21,FRA,54239.068,4.01,42.0,50.20399999999999,1249.611
43193,2021-02-22,FRA,54307.950999999994,4.06,42.0,50.426,1254.5539999999999
43194,2021-02-23,FRA,54606.822,4.14,42.0,50.84,1260.933
43195,2021-02-24,FRA,55073.444,4.23,42.0,50.855,1265.048
43196,2021-02-25,FRA,55449.59,4.38,42.0,50.766000000000005,1268.911
43197,2021-02-26,FRA,55822.805,4.55,42.0,50.989,1276.888
43198,2021-02-27,FRA,56179.65,4.62,42.0,51.107,1279.626
43199,2021-02-28,FRA,56474.954000000005,4.63,42.0,51.684,1281.432
43200,2021-03-01,FRA,56544.962,4.73,42.0,52.45399999999999,1286.982
43201,2021-03-02,FRA,56883.484000000004,4.88,42.0,53.075,1293.1689999999999
43202,2021-03-03,FRA,57280.306,5.05,42.0,53.83,1297.935
43203,2021-03-04,FRA,57654.558,5.29,42.0,53.771,1302.272
43204,2021-03-05,FRA,58002.477999999996,5.58,42.0,54.467,1308.769
43205,2021-03-06,FRA,58348.697,5.89,42.0,54.6,1311.285
43206,2021-03-07,FRA,58671.871,6.07,42.0,55.398999999999994,1313.2089999999998
43207,2021-03-08,FRA,58754.044,6.23,42.0,56.968,1318.5379999999998
43208,2021-03-09,FRA,59097.125,6.48,42.0,57.989,1323.984
43209,2021-03-10,FRA,59536.13,6.74,42.0,57.989,1328.8829999999998
43210,2021-03-11,FRA,59951.912000000004,7.1,42.0,59.085,1332.805
43211,2021-03-12,FRA,60323.04,7.54,42.0,59.691,1336.106
43212,2021-03-13,FRA,60763.554000000004,7.88,42.0,60.239,1338.6070000000002
43213,2021-03-14,FRA,61155.047999999995,7.97,42.0,61.083,1340.694
43214,2021-03-15,FRA,61250.867999999995,8.21,42.0,62.443999999999996,1345.6229999999998
43215,2021-03-16,FRA,61695.289000000004,8.41,42.0,62.74,1351.662
43216,2021-03-17,FRA,62265.413,8.64,42.0,62.443999999999996,1355.229
43217,2021-03-18,FRA,62784.53400000001,8.88,42.0,62.843999999999994,1359.195
43218,2021-03-19,FRA,63304.306,9.22,42.0,63.451,1363.4129999999998
43219,2021-03-20,FRA,63827.407999999996,9.47,42.0,64.428,1366.0179999999998
43220,2021-03-21,FRA,64281.257000000005,9.54,42.0,65.212,1368.076
43221,2021-03-22,FRA,64515.242,9.79,42.0,67.314,1373.152
43222,2021-03-23,FRA,64732.753,10.16,42.0,68.587,1377.4
43223,2021-03-24,FRA,65700.588,10.54,42.0,68.83800000000001,1381.0410000000002
43224,2021-03-25,FRA,66376.40400000001,11.04,42.0,69.697,1384.386
43225,2021-03-26,FRA,66996.288,11.57,42.0,70.54,1397.662
43226,2021-03-27,FRA,67627.16900000001,11.86,42.0,70.91,1400.489
43227,2021-03-28,FRA,68176.69,11.95,42.0,72.109,1402.4279999999999
43228,2021-03-29,FRA,68311.465,12.25,42.0,73.619,1407.756
43229,2021-03-30,FRA,68766.188,12.67,42.0,75.069,1413.395
43230,2021-03-31,FRA,69640.171,13.06,42.0,74.788,1417.88
43231,2021-04-01,FRA,70390.213,13.52,42.0,75.617,1422.4389999999999
43232,2021-04-02,FRA,71081.155,13.93,42.0,77.763,1427.352
43233,2021-04-03,FRA,71083.61200000001,14.14,42.0,78.044,1430.105
43234,2021-04-04,FRA,72277.069,14.21,42.0,79.051,1432.844
43235,2021-04-05,FRA,72436.813,14.3,42.0,80.41199999999999,1435.759
43236,2021-04-06,FRA,72556.047,14.62,42.0,83.26899999999999,1442.0639999999999
43237,2021-04-07,FRA,72569.768,15.0,42.0,84.79299999999999,1448.295
43238,2021-04-08,FRA,74005.927,15.5,42.0,84.43799999999999,1453.372
43239,2021-04-09,FRA,74008.354,16.1,42.0,85.208,1458.271
43240,2021-04-10,FRA,74029.134,16.41,42.0,85.385,1461.335
43241,2021-04-11,FRA,75774.16900000001,16.5,42.0,86.40700000000001,1463.94
43242,2021-04-12,FRA,75900.716,16.85,42.0,87.561,1469.638
43243,2021-04-13,FRA,76479.868,17.3,42.0,88.094,1474.744
43244,2021-04-14,FRA,77123.803,17.73,42.0,87.354,1479.14
43245,2021-04-15,FRA,77686.897,18.23,42.0,87.68,1483.521
43246,2021-04-16,FRA,78226.383,18.73,42.0,87.531,1488.42
43247,2021-04-17,FRA,78757.33,19.01,42.0,86.984,1491.2179999999998
43248,2021-04-18,FRA,79192.146,19.08,42.0,87.221,1493.29
43249,2021-04-19,FRA,79291.429,19.39,42.0,88.36,1499.906
43250,2021-04-20,FRA,79943.771,19.76,42.0,88.568,1505.648
43251,2021-04-21,FRA,80460.671,20.13,42.0,88.198,1510.281
43252,2021-04-22,FRA,80955.075,20.55,42.0,88.523,1514.47
43253,2021-04-23,FRA,81433.73,20.99,42.0,88.242,1519.3829999999998
43254,2021-04-24,FRA,81916.856,21.27,42.0,88.18299999999999,1522.595
43255,2021-04-25,FRA,82279.548,21.37,42.0,88.479,1524.741
43256,2021-04-26,FRA,82367.715,21.7,42.0,88.819,1530.632
43257,2021-04-27,FRA,82816.533,22.12,42.0,87.961,1535.7679999999998
43258,2021-04-28,FRA,83283.37700000001,22.56,42.0,87.01299999999999,1540.43
43259,2021-04-29,FRA,83676.292,23.08,42.0,85.90299999999999,1544.9589999999998
43260,2021-04-30,FRA,84035.994,23.63,42.0,83.994,1549.281
43261,2021-05-01,FRA,84415.929,23.88,42.0,82.603,1552.1229999999998
43262,2021-05-02,FRA,84562.76699999999,24.01,42.0,82.662,1553.81
43263,2021-05-03,FRA,84618.521,24.43,42.0,83.32799999999999,1558.4129999999998
43264,2021-05-04,FRA,84979.31800000001,24.9,42.0,81.46300000000001,1562.217
43265,2021-05-05,FRA,85364.19699999999,25.38,42.0,79.954,1565.828
43266,2021-05-06,FRA,85685.565,25.93,42.0,77.423,1569.069
43267,2021-05-07,FRA,85968.836,26.48,42.0,75.57300000000001,1572.7839999999999
43268,2021-05-08,FRA,86276.38,26.81,42.0,74.078,1575.389
43269,2021-05-09,FRA,86411.481,27.0,42.0,73.574,1577.0910000000001
43270,2021-05-10,FRA,86460.30900000001,27.46,42.0,72.08,1581.4129999999998
43271,2021-05-11,FRA,86753.23,28.05,42.0,70.2,1585.128
43272,2021-05-12,FRA,87071.416,28.69,42.0,67.832,1587.852
43273,2021-05-13,FRA,87359.45300000001,29.18,42.0,65.745,1589.79
43274,2021-05-14,FRA,87463.694,29.85,42.0,64.413,1592.351
43275,2021-05-15,FRA,87695.844,30.4,42.0,63.214,1594.009
43276,2021-05-16,FRA,87903.439,30.7,42.0,62.977,1595.2079999999999
43277,2021-05-17,FRA,87953.036,31.25,42.0,61.956,1598.108
43278,2021-05-18,FRA,88207.94900000001,31.93,42.0,59.425,1601.483
43279,2021-05-19,FRA,88490.006,32.61,42.0,57.16,1603.57
43280,2021-05-20,FRA,83326.921,33.36,42.0,55.784,1605.5379999999998
43281,2021-05-21,FRA,83516.415,34.08,42.0,53.74100000000001,1607.359
