Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements,total_cases,new_cases
Romania,ROU,29/7/20,2,0,0,2,1,48235,1182
Romania,ROU,30/7/20,2,0,0,2,1,49591,1356
Romania,ROU,31/7/20,2,0,0,2,1,50886,1295
Romania,ROU,1/8/20,2,0,0,2,1,52111,1225
Romania,ROU,2/8/20,2,0,0,2,1,53186,1075
Romania,ROU,3/8/20,2,0,0,2,1,54009,823
Romania,ROU,4/8/20,2,0,0,2,1,55241,1232
Romania,ROU,5/8/20,2,0,0,2,1,56550,1309
Romania,ROU,6/8/20,2,0,0,2,1,57895,1345
Romania,ROU,7/8/20,2,0,0,2,1,59273,1378
Romania,ROU,8/8/20,2,0,0,2,1,60623,1350
Romania,ROU,9/8/20,2,0,0,2,1,61768,1145
Romania,ROU,10/8/20,2,0,0,2,1,62547,779
Romania,ROU,11/8/20,2,0,0,2,1,63762,1215
Romania,ROU,12/8/20,2,0,0,2,1,65177,1415
Romania,ROU,13/8/20,2,0,0,2,1,66631,1454
Romania,ROU,14/8/20,2,0,0,2,1,68046,1415
Romania,ROU,15/8/20,2,0,0,2,1,69374,1328
Romania,ROU,16/8/20,2,0,0,2,1,70461,1087
Romania,ROU,17/8/20,2,0,0,2,1,71194,733
Romania,ROU,18/8/20,2,0,0,2,1,72208,1014
Romania,ROU,19/8/20,2,0,0,2,1,73617,1409
Romania,ROU,20/8/20,2,0,0,2,1,74963,1346
Romania,ROU,21/8/20,2,0,0,2,1,76355,1392
Romania,ROU,22/8/20,2,0,0,2,1,77544,1189
Romania,ROU,23/8/20,2,0,0,2,1,78505,961
Romania,ROU,24/8/20,2,0,0,2,1,79330,825
Romania,ROU,25/8/20,2,0,0,2,1,80390,1060
Romania,ROU,26/8/20,2,0,0,2,1,81646,1256
Romania,ROU,27/8/20,2,0,2,2,1,83150,1504
Romania,ROU,28/8/20,2,0,2,2,1,84468,1318
Romania,ROU,29/8/20,2,0,2,2,1,85833,1365
Romania,ROU,30/8/20,2,0,2,2,1,86785,952
Romania,ROU,31/8/20,2,0,2,2,1,87540,755
Romania,ROU,1/9/20,2,0,2,2,1,88593,1053
Romania,ROU,2/9/20,2,0,2,2,1,89891,1298
Romania,ROU,3/9/20,2,0,2,3,1,91256,1365
Romania,ROU,4/9/20,2,0,2,3,1,92595,1339
Romania,ROU,5/9/20,2,0,2,3,1,93864,1269
Romania,ROU,6/9/20,2,0,2,3,1,95014,1150
Romania,ROU,7/9/20,2,0,2,3,1,95897,883
Romania,ROU,8/9/20,2,0,2,3,1,97033,1136
Romania,ROU,9/9/20,2,0,2,3,1,98304,1271
Romania,ROU,10/9/20,2,0,2,3,1,99684,1380
Romania,ROU,11/9/20,2,0,2,3,1,101075,1391
Romania,ROU,12/9/20,2,0,2,3,1,102386,1311
Romania,ROU,13/9/20,2,0,2,3,1,103495,1109
Romania,ROU,14/9/20,2,0,2,3,1,104187,692
Romania,ROU,15/9/20,2,0,2,3,1,105298,1111
Romania,ROU,16/9/20,2,0,2,3,1,107011,1713
Romania,ROU,17/9/20,2,0,2,3,1,108690,1679
Romania,ROU,18/9/20,2,0,2,3,1,110217,1527
Romania,ROU,19/9/20,2,0,2,3,1,111550,1333
Romania,ROU,20/9/20,2,0,2,3,1,112781,1231
Romania,ROU,21/9/20,2,0,2,3,1,113589,808
Romania,ROU,22/9/20,2,0,2,3,1,114648,1059
Romania,ROU,23/9/20,2,0,2,3,1,116415,1767
Romania,ROU,24/9/20,2,0,2,3,1,118054,1639
Romania,ROU,25/9/20,2,0,2,3,1,119683,1629
Romania,ROU,26/9/20,2,0,2,3,1,121235,1552
Romania,ROU,27/9/20,2,0,2,3,1,122673,1438
Romania,ROU,28/9/20,2,0,2,3,1,123944,1271
Romania,ROU,29/9/20,2,0,2,3,1,125414,1470
Romania,ROU,30/9/20,2,0,2,3,1,127572,2158
Romania,ROU,1/10/20,2,0,2,3,1,129658,2086
Romania,ROU,2/10/20,2,0,2,3,1,132001,2343
Romania,ROU,3/10/20,2,0,2,3,1,134065,2064
Romania,ROU,4/10/20,2,0,2,3,1,135900,1835
Romania,ROU,5/10/20,2,0,2,3,1,137491,1591
Romania,ROU,6/10/20,2,0,2,3,1,139612,2121
Romania,ROU,7/10/20,2,0,2,3,1,142570,2958
Romania,ROU,8/10/20,2,0,2,3,1,145700,3130
Romania,ROU,9/10/20,2,0,2,3,0,148886,3186
Romania,ROU,10/10/20,2,0,2,3,0,152403,3517
Romania,ROU,11/10/20,2,0,2,3,0,155283,2880
Romania,ROU,12/10/20,2,0,2,3,0,157352,2069
Romania,ROU,13/10/20,2,0,2,3,0,160461,3109
Romania,ROU,14/10/20,2,0,2,3,0,164477,4016
Romania,ROU,15/10/20,2,0,2,3,0,168490,4013
Romania,ROU,16/10/20,2,0,2,3,0,172516,4026
Romania,ROU,17/10/20,2,0,2,3,0,176468,3952
Romania,ROU,18/10/20,2,0,2,3,0,180388,3920
Romania,ROU,19/10/20,2,0,2,3,0,182854,2466
Romania,ROU,20/10/20,2,0,3,3,1,186254,3400
Romania,ROU,21/10/20,2,0,3,3,1,191102,4848
Romania,ROU,22/10/20,2,0,3,3,1,196004,4902
Romania,ROU,23/10/20,2,0,4,3,1,201032,5028
Romania,ROU,24/10/20,2,0,4,3,1,205793,4761
Romania,ROU,25/10/20,2,0,4,3,1,209648,3855
Romania,ROU,26/10/20,2,0,4,3,1,212492,2844
Romania,ROU,27/10/20,2,0,4,3,1,217216,4724
Romania,ROU,28/10/20,2,0,4,3,1,222559,5343
Romania,ROU,29/10/20,2,0,4,3,1,229040,6481
Romania,ROU,30/10/20,2,0,4,3,1,235586,6546
Romania,ROU,31/10/20,2,0,4,3,1,241339,5753
Romania,ROU,1/11/20,2,0,4,3,1,246663,5324
Romania,ROU,2/11/20,2,0,4,3,1,250704,4041
Romania,ROU,3/11/20,2,0,4,3,1,258437,7733
Romania,ROU,4/11/20,2,0,4,3,1,267088,8651
Romania,ROU,5/11/20,2,0,4,3,1,276802,9714
Romania,ROU,6/11/20,2,0,4,3,1,287062,10260
Romania,ROU,7/11/20,2,0,4,3,1,296999,9937
Romania,ROU,8/11/20,2,0,4,3,1,303751,6752
Romania,ROU,9/11/20,2,0,2,4,3,306991,3240
Romania,ROU,10/11/20,2,0,2,4,3,314295,7304
Romania,ROU,11/11/20,2,0,2,4,3,324094,9799
Romania,ROU,12/11/20,2,0,2,4,3,334236,10142
Romania,ROU,13/11/20,2,0,2,4,3,343725,9489
Romania,ROU,14/11/20,2,0,2,4,3,353185,9460
Romania,ROU,15/11/20,2,0,2,4,3,360281,7096
Romania,ROU,16/11/20,2,0,4,4,2,365212,4931
Romania,ROU,17/11/20,2,0,4,4,2,373474,8262
Romania,ROU,18/11/20,2,0,4,4,2,383743,10269
Romania,ROU,19/11/20,2,0,4,4,2,393851,10108
Romania,ROU,20/11/20,2,0,4,4,2,403123,9272
Romania,ROU,21/11/20,2,0,4,4,2,412808,9685
Romania,ROU,22/11/20,2,0,4,4,2,418645,5837
Romania,ROU,23/11/20,2,0,4,4,2,422852,4207
Romania,ROU,24/11/20,2,0,4,4,2,430605,7753
Romania,ROU,25/11/20,2,0,4,4,2,440344,9739
Romania,ROU,26/11/20,2,0,4,4,2,449349,9005
Romania,ROU,27/11/20,2,0,4,4,2,457848,8499
Romania,ROU,28/11/20,2,0,4,4,2,465982,8134
Romania,ROU,29/11/20,2,0,4,4,2,471536,5554
Romania,ROU,30/11/20,2,0,4,4,2,475362,3826
Romania,ROU,1/12/20,2,0,4,4,2,479634,4272
Romania,ROU,2/12/20,2,0,4,4,2,484550,4916
Romania,ROU,3/12/20,2,0,4,4,2,492211,7661
Romania,ROU,4/12/20,2,0,4,4,2,500273,8062
Romania,ROU,5/12/20,2,0,4,4,2,508345,8072
Romania,ROU,6/12/20,2,0,4,4,2,513576,5231
Romania,ROU,7/12/20,2,0,4,4,2,517236,3660
Romania,ROU,8/12/20,2,0,4,4,2,524675,7439
Romania,ROU,9/12/20,2,0,4,4,2,532040,7365
Romania,ROU,10/12/20,2,0,4,4,2,539107,7067
Romania,ROU,11/12/20,2,0,4,4,2,545567,6460
Romania,ROU,12/12/20,2,0,4,4,2,551900,6333
Romania,ROU,13/12/20,2,0,4,4,2,556335,4435
Romania,ROU,14/12/20,2,0,4,4,2,559587,3252
Romania,ROU,15/12/20,2,0,4,4,2,565758,6171
Romania,ROU,16/12/20,2,0,4,4,2,571749,5991
Romania,ROU,17/12/20,2,0,4,4,2,577446,5697
Romania,ROU,18/12/20,2,0,4,4,2,582786,5340
Romania,ROU,19/12/20,2,0,4,4,2,587944,5158
Romania,ROU,20/12/20,2,0,4,4,2,591294,3350
Romania,ROU,21/12/20,2,0,4,4,2,593783,2489
Romania,ROU,22/12/20,2,0,4,4,2,598792,5009
Romania,ROU,23/12/20,2,0,4,4,2,604251,5459
Romania,ROU,24/12/20,2,0,4,4,2,608561,4310
Romania,ROU,25/12/20,2,0,4,4,2,612373,3812
Romania,ROU,26/12/20,2,0,4,4,2,613760,1387
Romania,ROU,27/12/20,2,1,4,4,2,615809,2049
Romania,ROU,28/12/20,2,1,4,4,2,618429,2620
Romania,ROU,29/12/20,2,1,4,4,2,623066,4637
Romania,ROU,30/12/20,2,1,4,4,2,627941,4875
Romania,ROU,31/12/20,2,1,4,4,2,632263,4322
Romania,ROU,1/1/21,2,1,4,4,2,636201,3938
Romania,ROU,2/1/21,2,1,4,4,2,637395,1194
Romania,ROU,3/1/21,2,1,4,4,2,640429,3034
Romania,ROU,4/1/21,2,1,4,4,2,643559,3130
Romania,ROU,5/1/21,2,1,4,4,2,648288,4729
Romania,ROU,6/1/21,2,1,4,4,2,654007,5719
Romania,ROU,7/1/21,2,1,4,4,2,658958,4951
Romania,ROU,8/1/21,2,1,4,4,2,663799,4841
Romania,ROU,9/1/21,2,1,4,4,2,668202,4403
Romania,ROU,10/1/21,2,1,4,4,2,671284,3082
Romania,ROU,11/1/21,2,1,4,4,2,673271,1987
Romania,ROU,12/1/21,2,1,4,4,2,676968,3697
Romania,ROU,13/1/21,2,1,4,4,2,681392,4424
Romania,ROU,14/1/21,2,1,4,4,2,684917,3525
Romania,ROU,15/1/21,2,3,4,4,2,688270,3353
Romania,ROU,16/1/21,2,3,4,4,2,691488,3218
Romania,ROU,17/1/21,2,3,4,4,2,693644,2156
