Entity,Code,Day,testing_policy,vaccination_policy,facial_coverings,restriction_gatherings,stay_home_requirements
Albania,ALB,3/4/21,2,2,4,4,2
Albania,ALB,4/4/21,2,2,4,4,2
Albania,ALB,5/4/21,2,2,4,4,2
Albania,ALB,6/4/21,2,2,4,4,2
Albania,ALB,7/4/21,2,2,4,4,2
Albania,ALB,8/4/21,2,2,4,4,2
Albania,ALB,9/4/21,2,2,4,4,2
Albania,ALB,10/4/21,2,2,4,4,2
Albania,ALB,11/4/21,2,2,4,4,2
Albania,ALB,12/4/21,2,2,4,4,2
Albania,ALB,13/4/21,2,2,4,4,2
Albania,ALB,14/4/21,2,2,4,4,2
Albania,ALB,15/4/21,2,2,4,4,2
Albania,ALB,16/4/21,2,2,4,4,2
Albania,ALB,17/4/21,2,2,4,4,2
Albania,ALB,18/4/21,2,2,4,4,2
Albania,ALB,19/4/21,2,2,4,4,2
Albania,ALB,20/4/21,2,2,4,4,2
Albania,ALB,21/4/21,2,2,4,4,2
Albania,ALB,22/4/21,2,2,4,4,2
Albania,ALB,23/4/21,2,2,4,4,2
Albania,ALB,24/4/21,2,2,4,4,2
Albania,ALB,25/4/21,2,2,4,4,2
Albania,ALB,26/4/21,2,2,4,4,2
Albania,ALB,27/4/21,2,2,4,4,2
Albania,ALB,28/4/21,2,2,4,4,2
Albania,ALB,29/4/21,2,2,4,4,2
Albania,ALB,30/4/21,2,2,4,4,2
Albania,ALB,1/5/21,2,2,4,4,2
Albania,ALB,2/5/21,2,2,4,4,2
Albania,ALB,3/5/21,2,2,4,4,2
Albania,ALB,4/5/21,2,2,4,4,2
Albania,ALB,5/5/21,2,2,4,4,2
Albania,ALB,6/5/21,2,2,4,4,2
Albania,ALB,7/5/21,2,2,4,4,2
Albania,ALB,8/5/21,2,2,4,4,2
Albania,ALB,9/5/21,2,2,4,4,2
Albania,ALB,10/5/21,2,2,4,4,2
Albania,ALB,11/5/21,2,2,4,4,2
Albania,ALB,12/5/21,2,2,4,4,2
Albania,ALB,13/5/21,2,2,4,4,2
Albania,ALB,14/5/21,2,2,4,4,2
Albania,ALB,15/5/21,2,2,4,4,2
Albania,ALB,16/5/21,2,2,4,4,2
Albania,ALB,17/5/21,2,2,4,4,2
Albania,ALB,18/5/21,2,2,4,4,2
Albania,ALB,19/5/21,2,2,4,4,2
Albania,ALB,20/5/21,2,2,4,4,2
Albania,ALB,21/5/21,2,2,4,4,2
Albania,ALB,22/5/21,2,2,4,4,2
Albania,ALB,23/5/21,2,2,4,4,2
